Keuwl Accelerometer Data File
2019-06-27 16-04-37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.632846,9.157822,2.845509,9.727734,72.991409,79.890366
0.0095400,2.115277,9.080010,3.084929,9.820273,71.691170,76.886276
0.0193010,2.537854,8.972271,3.530250,9.970206,69.262932,74.206169
0.0291890,2.414552,8.771158,3.857059,9.881305,67.024399,74.608665
0.0391180,2.275689,8.620323,4.296395,9.896855,64.270866,75.211800
0.0498220,2.290054,8.508993,4.754885,10.012804,61.648434,74.936714
0.0591820,2.335544,8.491036,5.090073,10.171593,59.972183,74.620560
0.0692400,2.354697,8.498219,5.203797,10.239327,59.454880,74.512939
0.0792570,2.472013,8.542512,5.214571,10.309079,59.613987,73.860733
0.0892090,2.691083,8.737639,5.171476,10.503924,60.505665,72.881828
0.0994240,2.765303,8.780735,5.001487,10.476789,61.485092,72.519302
0.1092900,2.661155,8.469488,4.671088,10.031602,62.248528,72.557022
0.1192720,2.560599,8.655039,4.331111,10.011238,64.365738,73.519119
0.1292860,2.389413,8.911219,4.021062,10.064197,66.450493,74.990044
0.1392590,2.100912,8.924387,3.824737,9.934140,67.355675,76.753052
0.1496250,1.908179,8.816648,3.671508,9.739322,67.853394,77.787880
0.1594130,1.863886,8.702923,3.602077,9.601557,67.966080,77.911705
0.1695160,2.051831,8.777143,3.677494,9.735103,67.805244,76.842262
0.1793240,2.146402,9.261970,3.724181,10.210810,68.609077,76.952393
0.1894720,1.756147,9.032125,3.608062,9.883393,68.588539,78.997070
0.1999430,1.660379,8.692149,3.605668,9.555687,67.831474,79.185608
0.2093050,1.996764,8.528147,3.961207,9.612883,65.664894,76.822258
0.2197600,2.522291,8.447941,4.228160,9.777884,64.378708,73.376015
0.2294490,2.900575,8.579621,3.965995,9.886979,66.350967,71.320770
0.2392220,2.950854,8.720880,4.047398,10.056973,66.268761,71.305901
0.2496930,2.661155,8.798691,4.112041,10.070134,65.899384,73.172112
0.2593250,2.367866,8.787917,4.040215,9.957791,66.062866,74.920036
0.2707140,2.110489,8.744822,3.873818,9.794516,66.702278,76.431610
0.2795730,1.962048,8.694544,3.779247,9.681293,67.022728,77.283394
0.2901690,1.971625,8.674192,3.804387,9.674828,66.844666,77.194366
0.3000130,2.030283,8.668207,3.896563,9.718183,66.362045,76.817711
0.3093410,2.099715,8.677784,3.961207,9.767492,66.074402,76.397888
0.3194270,2.184709,8.704121,4.011485,9.829887,65.915054,75.909996
0.3296250,2.243367,8.734048,4.061763,9.890106,65.751839,75.594803
0.3392670,2.328361,8.756793,4.094085,9.943048,65.684967,75.110031
0.3492800,2.403779,8.801085,4.104859,10.004355,65.775871,74.723785
0.3592640,2.481590,8.820239,4.116830,10.045058,65.805450,74.285957
0.3699380,2.529474,8.819042,4.183867,10.083575,65.485779,73.996071
0.3794320,2.540248,8.787917,4.183867,10.059080,65.422142,73.877457
0.3899140,2.449268,8.765172,4.183867,10.016582,65.310905,74.387947
0.3991810,2.449268,8.746018,4.186262,10.000827,65.254303,74.355423
0.4091970,2.358289,8.726865,4.170700,9.955624,65.233009,74.877968
0.4192270,2.309207,8.707711,4.156334,9.921279,65.232864,75.147545
0.4291950,2.275689,8.657434,4.108450,9.849329,65.346481,75.272430
0.4397540,2.244564,8.621520,4.076128,9.797117,65.414299,75.407303
0.4496590,2.237381,8.610746,4.046201,9.773564,65.543999,75.434586
0.4591970,2.256535,8.643068,4.027047,9.798555,65.733353,75.367821
0.4699830,2.266112,8.672996,3.998317,9.815430,65.961517,75.356918
0.4793780,2.298434,8.686164,3.970783,9.823409,66.157967,75.178734
0.4897120,2.298434,8.667010,3.971981,9.806961,66.107841,75.147423
0.4992390,2.304419,8.656237,3.955221,9.792067,66.176476,75.092751
0.5092350,2.315193,8.670602,3.944447,9.802964,66.273392,75.049873
0.5196590,2.323573,8.708909,3.940856,9.837399,66.384346,75.061234
