Keuwl Accelerometer Data File
2019-06-27 16-11-30

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.897405,6.508637,7.580042,10.169540,41.809349,73.747482
0.0098128,1.783680,6.707356,7.337031,10.099612,43.409012,75.108047
0.0196843,1.868674,7.147889,7.380127,10.442726,45.030994,75.349052
0.0296365,1.713051,6.873753,7.319075,10.185866,44.064941,76.006027
0.0396446,1.448492,6.623559,7.020997,9.760330,43.999977,77.664307
0.0496261,1.385046,6.676231,6.866570,9.676787,44.798271,78.279716
0.0598334,1.443704,6.691794,6.809110,9.655483,45.153770,77.825470
0.0698120,1.399411,6.551733,6.829460,9.566875,44.449715,77.943138
0.0799438,1.373075,6.470330,6.981492,9.617263,43.453449,78.018951
0.0898188,1.407791,6.493075,7.150283,9.760555,42.897774,77.766808
0.0998257,1.572991,6.573281,7.174225,9.856563,43.292473,76.542160
0.1098587,1.772906,6.833052,7.114370,10.022378,44.777409,75.454750
0.1199747,1.701080,6.811504,6.989872,9.906996,45.126076,75.977974
0.1299352,1.553837,6.679823,7.076063,9.854193,44.104107,76.904938
0.1399404,1.292869,6.527791,7.238869,9.832842,42.591885,78.797203
0.1499821,2.003947,6.791153,7.281964,10.156898,44.196953,73.559624
0.1599009,2.384625,6.988675,7.247249,10.346527,45.536697,71.159706
0.1698662,2.282871,6.853402,7.534553,10.437917,43.793022,71.577065
0.1800295,2.003947,6.502652,7.569269,10.178119,41.954109,72.872070
0.1900591,1.776498,6.307524,7.413646,9.894592,41.473476,74.270264
0.1998699,1.611298,6.284780,7.234080,9.717338,41.888046,75.620178
0.2099348,1.489193,6.404490,7.144298,9.709593,42.625320,76.909996
0.2199312,1.386243,6.502652,7.113173,9.736703,43.067257,77.965767
0.2299774,1.346738,6.575675,7.161057,9.814986,43.146759,78.425537
0.2398926,1.426944,6.646304,7.213730,9.911984,43.299515,77.882690
0.2497926,1.624466,6.788759,7.279570,10.085548,43.798176,76.542870
0.2599811,1.745373,6.842628,7.329848,10.178142,43.932652,75.690498
0.2700679,1.697489,6.627151,7.290344,9.997485,43.179138,75.633049
0.2801178,1.684321,6.563704,7.248446,9.922656,43.072136,75.607796
0.2899787,1.651999,6.612785,7.202956,9.916682,43.418953,75.973518
