Keuwl Accelerometer Data File
2019-06-27 16-11-10

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.374693,5.898116,7.805098,9.790185,37.132942,86.365028
0.0098616,0.547075,5.799953,8.104373,9.980963,35.709858,84.611572
0.0197950,0.735020,5.849035,8.038532,9.968423,36.254360,82.837463
0.0297481,0.843956,5.901707,7.984663,9.964800,36.746838,81.861763
0.0398502,0.908600,5.940014,8.001422,10.006602,36.906719,81.303299
0.0498198,0.972046,5.987898,8.012196,10.049630,37.130497,80.779320
0.0598860,0.916979,5.899313,8.085219,10.050549,36.442295,81.164742
0.0699577,0.758962,5.734113,8.045714,9.909066,35.712631,82.460213
0.0800095,0.584185,5.677849,7.902063,9.747915,35.841358,84.125595
0.0899529,0.418985,5.687426,7.698555,9.580716,36.529839,85.786705
0.0999676,0.269348,5.665878,7.495049,9.399493,37.118553,87.278290
0.1099134,0.228646,5.689820,7.383718,9.324464,37.639843,87.698799
0.1199369,0.432153,5.820304,7.667431,9.635984,37.277809,85.753624
0.1299606,0.480037,5.835866,7.756016,9.718207,37.051788,85.297638
0.1399744,0.684742,5.946000,7.897274,9.909123,37.158268,83.430756
0.1501034,0.901417,5.969942,7.995437,10.018970,37.057629,81.413620
0.1600473,1.058237,5.926847,8.050503,10.052759,36.791027,79.876534
0.1700258,1.035492,5.827487,8.076839,10.013350,36.234257,79.924217
0.1802510,0.979228,5.701791,8.105570,9.958392,35.516956,80.255058
0.1902167,0.924162,5.629965,8.228871,10.013237,34.734676,80.678001
0.2006095,0.799663,5.658696,8.203732,9.998075,34.861996,81.956459
0.2102844,0.656011,5.673061,8.049306,9.869412,35.355141,83.403831
0.2201768,0.584185,5.641936,8.007407,9.812813,35.312107,84.088470
0.2300896,0.618901,5.805939,8.009802,9.912059,36.090595,83.915367
0.2400304,0.673968,5.926847,8.007407,9.985004,36.683922,83.512512
0.2500504,0.751779,5.951985,7.940370,9.951923,37.072544,82.801247
0.2602218,0.837971,5.941212,7.885303,9.908492,37.267918,81.971748
0.2700961,0.845153,5.865794,7.879318,9.859283,36.948368,81.801155
0.2800927,0.788889,5.723339,7.923611,9.806252,36.097435,82.151955
0.2899730,0.788889,5.697003,7.978677,9.835521,35.785633,82.116135
0.2999911,0.858321,5.808333,8.039729,9.955436,36.140640,81.594002
0.3099952,0.916979,5.875371,8.054094,10.011457,36.439190,81.129311
0.3199818,0.863110,5.823895,7.972692,9.910930,36.444344,81.570045
0.3300370,0.772130,5.790377,7.881712,9.810506,36.544460,82.404579
0.3402487,0.661997,5.732916,7.835025,9.730991,36.374096,83.413063
0.3502310,0.588974,5.628768,7.819463,9.652664,35.895920,84.026520
0.3600861,0.575805,5.647922,7.903260,9.730987,35.691059,84.178810
0.3700037,0.592565,5.743690,7.961918,9.835306,35.950531,84.109749
0.3803160,0.672771,5.835866,7.960721,9.893585,36.425022,83.423851
0.3900996,0.763750,5.829881,7.952341,9.889922,36.477989,82.536407
0.4000255,0.835576,5.785588,7.949947,9.867769,36.327133,81.781952
0.4099639,0.857124,5.838261,7.983466,9.927522,36.469337,81.647980
0.4199611,0.842759,5.893328,7.964312,9.943431,36.777920,81.861748
0.4299802,0.816423,5.869385,7.987057,9.945315,36.573093,82.081055
0.4398892,0.882263,5.870583,8.067263,10.016130,36.348480,81.453239
0.4499488,0.922965,5.841852,8.106767,10.034877,36.112713,81.021950
0.4599430,0.956484,5.734113,8.157045,10.016602,35.476604,80.529922
0.4699167,0.969652,5.702989,8.189367,10.026466,35.236748,80.350555
0.4799545,0.950498,5.719748,8.159439,10.009766,35.398014,80.564903
0.4898419,0.910994,5.737704,8.137892,9.998822,35.522736,80.978271
0.4999706,0.867898,5.668272,8.067263,9.897640,35.405785,81.294762
0.5099499,0.845153,5.586870,8.060080,9.843388,35.031971,81.397812
0.5198791,0.839168,5.506664,8.078036,9.812350,34.588341,81.335281
0.5299822,0.847547,5.486313,8.031349,9.763224,34.652828,81.218140
0.5399023,0.924162,5.521029,8.040926,9.797567,34.844433,80.497391
0.5500107,1.036689,5.737704,7.909245,9.826095,36.397221,79.758286
0.5599785,1.162385,5.861006,8.104373,10.068932,36.400455,78.782372
0.5699629,1.204283,5.783194,8.139089,10.056858,35.971695,78.236923
0.5800406,1.158794,5.736507,7.952341,9.873705,36.350521,78.579742
0.5900545,1.071405,5.730522,7.873333,9.796741,36.518139,79.409973
0.6004539,0.930147,5.705383,7.795521,9.704984,36.558487,80.740540
0.6102296,0.804452,5.681441,7.651869,9.564362,36.866104,81.940895
0.6201164,0.731429,5.679047,7.732074,9.621410,36.521645,82.661034
0.6300004,0.755371,5.731719,7.740454,9.661150,36.755737,82.492378
0.6403518,0.902614,5.821501,7.796718,9.772072,37.074039,81.186562
0.6501706,1.048660,5.866991,7.914034,9.907230,36.983009,79.866020
0.6603634,1.088165,5.670667,8.045714,9.903235,35.665684,79.137352
0.6703094,1.158794,5.109226,8.111555,9.656310,32.857094,77.221268
0.6801548,1.350330,4.985925,8.285135,9.763519,31.942352,74.846199
0.6900470,1.470040,5.482722,8.414422,10.150062,34.003635,74.990746
0.7002786,1.467646,5.749675,8.342596,10.237757,35.423992,75.680618
0.7101260,1.478420,5.951985,8.233660,10.266694,36.680626,76.050552
0.7202206,1.517924,6.075287,8.153454,10.280662,37.525112,75.971725
0.7301220,1.471237,6.045359,8.203732,10.296219,37.177116,76.322037
0.7409046,1.368286,5.894525,8.234857,10.219124,36.309700,76.931473
