Keuwl Accelerometer Data File
2019-06-27 15-59-03

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.733823,5.342661,7.910442,9.573799,34.283607,82.179268
0.0095360,1.122881,5.044583,8.857349,10.254819,30.262497,77.451042
0.0194530,1.419762,4.838682,8.749610,10.098724,29.956192,73.647301
0.0294630,1.681927,4.808754,8.698134,10.080205,30.357065,70.722023
0.0394730,1.663970,4.728549,8.756793,10.090064,29.788752,70.613091
0.0494950,1.419762,4.747702,8.779537,10.081502,29.441729,73.351135
0.0594980,1.165976,4.801571,8.779537,10.074466,29.370750,76.350929
0.0695250,1.078588,4.781221,8.738836,10.019515,29.286854,77.287537
0.0795300,1.086968,4.748899,8.583213,9.869401,29.578617,77.107742
0.0894610,1.065420,4.753687,8.371326,9.685648,30.196884,77.367348
0.0994850,0.984017,4.777629,8.232463,9.569090,30.647665,78.361908
0.1095030,0.885855,4.777629,8.036138,9.390952,31.159313,79.495674
0.1197370,0.973243,4.254497,8.001422,9.114312,28.610357,77.114929
0.1296510,0.866701,5.122395,7.600393,9.206306,34.354309,80.396599
0.1395130,0.575805,5.048174,7.619547,9.158226,33.696358,83.492844
0.1498160,0.658405,5.018247,8.031349,9.493095,32.218609,82.525360
0.1595010,0.723049,4.942830,8.251616,9.645907,31.190228,81.677666
0.1696680,0.919373,4.893748,8.440758,9.800021,30.537146,79.360039
0.1795890,1.340753,4.848258,8.832211,10.164210,29.662920,74.541580
0.1896680,1.715446,4.757279,9.123106,10.430988,29.000477,70.171005
0.1996970,1.843535,4.772841,9.138668,10.473485,29.243345,68.880676
0.2096490,1.759738,4.829105,8.602366,10.020861,30.857468,69.978134
0.2195660,1.316811,4.866215,8.656237,10.017209,30.215740,74.858246
0.2298550,1.206678,4.984728,8.413225,9.853220,31.366484,76.391907
0.2396180,1.212663,5.031415,8.441956,9.902137,31.511118,76.449112
0.2496930,1.183933,5.048174,8.389283,9.862345,31.718893,76.801140
0.2597260,1.121683,5.018247,8.367735,9.821404,31.571251,77.400299
0.2696450,1.024718,4.954801,8.382100,9.790797,31.116280,78.315208
0.2795200,0.950498,4.897339,8.352173,9.728626,30.849730,79.016327
0.2896510,0.951695,4.811148,8.298303,9.639227,30.583471,78.810745
0.2995270,1.015141,4.770447,8.271967,9.602766,30.524164,77.986763
0.3101900,1.115698,4.842273,8.262390,9.641549,31.023418,77.025040
0.3196150,1.199495,4.918888,8.218098,9.652532,31.636497,76.295609
0.3299690,1.231817,4.954801,8.184579,9.646489,31.956350,76.038696
0.3397560,1.306037,5.026627,8.141483,9.656939,32.534168,75.435242
0.3496090,1.307234,5.067328,8.112753,9.654192,32.824520,75.534615
0.3598580,1.253365,5.067328,8.048109,9.592747,32.967583,76.107162
0.3697170,1.144428,5.029021,7.936779,9.465369,33.017204,77.179817
0.3796250,1.128866,4.993108,7.811083,9.339084,33.239517,77.260468
0.3895950,1.145625,4.936844,7.789535,9.293101,33.048820,76.935394
0.3997340,1.155202,4.916493,7.964312,9.430624,32.379890,76.777367
0.4096720,1.289278,4.961983,7.936779,9.448596,32.860348,75.434845
0.4196000,1.333570,4.976348,8.360553,9.820453,31.642187,74.998260
