Keuwl Accelerometer Data File
2019-06-26 16-23-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.920926,9.548077,0.484826,9.996631,87.220123,72.990196
0.0102560,2.910152,9.346964,0.647632,9.810920,86.215080,72.706161
0.0202460,2.863465,9.123106,1.182736,9.634799,82.948776,72.574516
0.0299360,3.044227,8.882488,1.584962,9.522501,80.418884,71.082268
0.0399520,3.386598,8.717288,1.940500,9.551214,78.277725,68.769241
0.0500100,3.796007,8.826224,2.263718,9.870984,76.742340,66.728294
0.0600600,4.121618,8.992621,2.546233,10.214611,75.565468,65.376434
0.0702760,4.253299,9.021352,2.722207,10.338557,74.733665,64.757515
0.0800020,4.238934,8.950723,2.886210,10.315726,73.752487,64.658432
0.0900620,4.266468,9.064447,2.923320,10.436127,73.732903,64.794502
0.1001440,4.307169,9.172187,2.800019,10.512888,74.553314,64.845711
0.1099610,4.220978,9.198523,2.636016,10.458396,75.401276,65.350761
0.1200460,3.823540,9.173384,2.381034,10.219577,76.526978,67.373230
0.1303490,3.265691,9.115923,1.825579,9.853807,79.323341,70.290428
0.1402890,2.674323,9.087193,1.325191,9.564790,82.036118,73.601059
0.1500880,2.500744,9.203311,0.970849,9.586303,84.187431,74.798492
0.1601500,2.595315,9.205706,0.864307,9.603525,84.836456,74.255554
0.1702420,2.790442,9.170990,0.933739,9.631484,84.436638,73.076653
0.1801880,2.995146,9.082404,1.088165,9.625231,83.508644,71.748756
0.1900040,3.098097,9.032125,1.309628,9.638082,82.190453,71.067589
0.2003090,3.173514,8.963891,1.580173,9.639475,80.565079,70.504349
0.2100620,3.276465,8.916007,1.798046,9.667645,79.281380,69.822571
0.2201620,3.491943,8.961497,1.941698,9.811844,78.586212,68.711090
0.2300250,3.855862,9.724051,1.867477,10.626020,79.877945,68.370270
0.2401230,3.363853,9.476251,1.672350,10.193704,80.557533,70.456299
0.2504190,3.129222,8.924387,1.792060,9.625393,79.270035,70.677437
