Keuwl Accelerometer Data File
2019-06-26 17-15-28

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.377442,9.453506,1.665167,9.889073,80.306091,75.883545
0.0099320,2.243367,9.391256,1.742979,9.811543,79.767342,76.565056
0.0199170,2.212242,9.388862,1.698686,9.794400,80.012436,76.741562
0.0299160,2.023100,9.193734,1.583764,9.545994,80.449966,77.589737
0.0400620,1.839944,8.949526,1.574188,9.271325,80.224335,78.382370
0.0499830,1.796848,8.767567,1.642422,9.099255,79.601074,78.418030
0.0604500,2.021903,8.854955,1.695095,9.239679,79.428741,77.137833
0.0699400,2.313996,9.228451,1.735796,9.671187,79.660461,75.923546
0.0800550,2.450465,9.633071,1.668759,10.078968,80.469742,75.727783
0.0901580,2.437297,9.827001,1.629254,10.254991,80.858437,76.070557
0.1000800,2.303222,9.695320,1.704672,10.109895,80.292747,76.636520
0.1100550,2.157176,9.410410,1.842338,9.828705,79.196304,77.088982
0.1199470,2.080561,9.271546,1.940500,9.698239,78.457901,77.352188
0.1300090,2.019509,9.352949,1.964442,9.768065,78.398201,77.815628
0.1403130,2.024297,9.572019,2.035071,9.993139,78.249702,78.058990
0.1500060,2.207454,9.921572,2.134431,10.385867,78.140465,77.456551
0.1608780,2.300828,10.002975,2.205060,10.498362,77.875397,77.046455
0.1701460,2.258929,9.771935,2.272097,10.283769,77.235741,76.983856
0.1805200,2.257732,9.682152,2.376245,10.221935,76.557739,76.874039
0.1901100,2.224213,9.877279,2.300828,10.382754,77.196922,77.309540
0.2000980,1.812411,9.653421,2.120066,10.048286,77.819756,79.366615
0.2104870,1.698686,9.727641,1.801637,10.037849,79.660278,80.094620
0.2200250,1.827973,9.788693,1.648408,10.093426,80.600639,79.422234
0.2300180,1.963245,9.694122,1.647211,10.027145,80.544868,78.551353
0.2402660,2.117671,9.532514,1.807622,9.930803,79.512459,77.474998
0.2501000,2.163161,9.361329,1.900996,9.794260,78.808266,76.988792
0.2600770,2.109292,9.261970,1.976413,9.702546,78.246559,77.170448
0.2700670,2.024297,9.255983,2.044648,9.692863,77.822342,77.663567
0.2804510,1.942895,9.265560,2.025495,9.681326,77.923553,78.157234
0.2904570,1.881842,9.255983,1.960851,9.646735,78.272003,78.507782
0.3001830,1.832761,9.297882,1.934515,9.672227,78.462624,78.849037
0.3111370,1.832761,9.385271,1.898602,9.749207,78.770218,78.950302
0.3206040,1.890222,9.494206,1.833959,9.852731,79.272568,78.740089
0.3303280,1.941698,9.543288,1.789666,9.901891,79.587143,78.499458
0.3405380,1.953669,9.551667,1.744176,9.904207,79.857056,78.440338
0.3500570,1.948880,9.497798,1.771709,9.856229,79.644493,78.404274
0.3604120,1.977611,9.458294,1.816002,9.831995,79.356163,78.190308
0.3701980,1.970428,9.398438,1.849521,9.779262,79.098167,78.159164
0.3804410,1.951274,9.357738,1.887828,9.743645,78.828308,78.221466
0.3902000,1.927332,9.356541,1.883040,9.736801,78.849075,78.360573
0.4007710,1.964442,9.412804,1.842338,9.790512,79.153648,78.211632
0.4104780,1.962048,9.485827,1.787272,9.850121,79.545967,78.313736
0.4208350,1.872266,9.344569,1.872266,9.712453,78.885544,78.670311
0.4302010,1.898602,9.218874,1.908179,9.603827,78.539665,78.362801
0.4406720,1.936909,9.202114,1.885434,9.590901,78.662628,78.113594
0.4500840,1.916559,9.241618,1.936909,9.634953,78.402840,78.283882
0.4601300,1.920150,9.278728,1.956063,9.675120,78.335854,78.308189
0.4701720,1.977611,9.320627,1.923741,9.720382,78.585350,78.020882
0.4805860,2.036268,9.337387,1.948880,9.753529,78.473984,77.697723
0.4902140,2.091335,9.363723,1.991976,9.799028,78.270996,77.409935
0.5005730,2.139219,9.388862,2.024297,9.839957,78.128220,77.164474
0.5103340,2.177526,9.440337,2.021903,9.896953,78.211739,77.011223
0.5202350,2.187103,9.503783,2.025495,9.960319,78.266701,77.040176
0.5299460,2.185906,9.567230,2.043451,10.024259,78.237778,77.130058
0.5401200,2.178724,9.623494,2.041057,10.075932,78.312859,77.243492
0.5508810,2.152387,9.628283,2.054225,10.077521,78.238266,77.398804
0.5604100,2.097321,9.600749,2.084153,10.045737,78.026085,77.677109
0.5702580,2.060210,9.551667,2.103306,9.995134,77.852272,77.828270
0.5805130,2.009932,9.513360,2.108095,9.949266,77.767189,78.070290
0.5901020,1.953669,9.494206,2.074576,9.912650,77.919502,78.372276
0.6003370,1.906982,9.508572,2.051831,9.912594,78.053848,78.659554
0.6099340,1.855506,9.526528,1.995567,9.908579,78.381287,78.978348
0.6203100,1.839944,9.574412,1.944092,9.941542,78.723007,79.121910
0.6300240,1.835156,9.588778,1.957260,9.957074,78.663559,79.165421
0.6403300,1.867477,9.551667,1.974019,9.930688,78.534393,78.937462
0.6499790,1.887828,9.491813,1.985990,9.879401,78.403191,78.751228
0.6599320,1.885434,9.443929,2.013524,9.838543,78.190598,78.709625
0.6702710,1.860295,9.434352,2.001553,9.822113,78.241898,78.845337
0.6800790,1.826776,9.469068,1.997961,9.848462,78.295135,79.080627
0.6908519,1.760935,9.476251,2.001553,9.844106,78.268539,79.473022
0.7005880,1.748964,9.323022,2.053028,9.705284,77.787552,79.375015
0.7101910,1.763330,9.261970,2.088941,9.656971,77.507355,79.220810
0.7202260,1.816002,9.277532,2.068590,9.677269,77.657349,78.924843
0.7300680,1.856703,9.361329,2.029086,9.756998,77.997047,78.781685
0.7401740,1.856703,9.421184,2.030283,9.814688,78.061501,78.851166
0.7502019,1.885434,9.427169,2.031480,9.826153,78.068497,78.690071
0.7601660,1.923741,9.385271,2.063802,9.800172,77.843170,78.416275
0.7705300,1.956063,9.339781,2.097321,9.770182,77.604095,78.171310
0.7802210,1.960851,9.343372,2.123657,9.780259,77.459061,78.147606
0.7902130,1.957260,9.364920,2.116474,9.798573,77.525902,78.195160
0.8001940,1.929727,9.391256,2.092532,9.813167,77.687874,78.388420
0.8102250,1.906982,9.409213,2.082955,9.823878,77.758667,78.542953
0.8203650,1.922544,9.412804,2.079364,9.829588,77.787308,78.456245
0.8305190,1.956063,9.408015,2.092532,9.834410,77.714882,78.254715
0.8402990,1.993173,9.412804,2.094927,9.846946,77.716507,78.044151
0.8500739,2.044648,9.414001,2.088941,9.857368,77.765297,77.746117
0.8601040,2.075773,9.434352,2.068590,9.879013,77.913254,77.591331
0.8712370,2.084153,9.443929,2.066196,9.889421,77.940346,77.555038
0.8804370,2.092532,9.439140,2.063802,9.886118,77.950447,77.500435
0.8900890,2.121263,9.451111,2.072181,9.905412,77.924706,77.349838
0.9001680,2.167950,9.469068,2.090138,9.936394,77.857033,77.104347
0.9100710,2.203863,9.489418,2.104503,9.966695,77.810036,76.925171
0.9202099,2.225410,9.515755,2.138022,10.003658,77.659317,76.837044
0.9300629,2.240973,9.545682,2.129642,10.033812,77.745956,76.788322
0.9402609,2.223016,9.537302,2.145205,10.025160,77.644180,76.879387
0.9501029,2.221819,9.508572,2.161964,10.001175,77.515762,76.847961
0.9601589,2.211045,9.473856,2.170344,9.967601,77.423683,76.863228
0.9700780,2.200271,9.453506,2.171541,9.946133,77.389023,76.897865
0.9804850,2.185906,9.433155,2.170344,9.923356,77.366684,76.953354
0.9903040,2.157176,9.430760,2.154782,9.911394,77.443367,77.115913
1.0004560,2.105700,9.423578,2.104503,9.882648,77.704750,77.404160
1.0101579,2.045845,9.421184,2.074576,9.861443,77.855820,77.748222
1.0202869,1.995567,9.411607,2.039860,9.834717,78.029144,78.028725
1.0300510,1.988384,9.393650,2.029086,9.813844,78.067596,78.048431
1.0400130,2.012326,9.355343,2.050634,9.786572,77.904869,77.860687
1.0500790,2.049437,9.340978,2.060210,9.782562,77.842468,77.625221
1.0604630,2.075773,9.326612,2.080561,9.778715,77.715607,77.452507
1.0703450,2.092532,9.362526,2.090138,9.818567,77.709045,77.401398
1.0802510,2.097321,9.382876,2.079364,9.836711,77.796288,77.400002
1.0901660,2.076970,9.379285,2.055422,9.823928,77.922997,77.513786
1.1003630,2.035071,9.370906,2.035071,9.802903,78.018326,77.747383
1.1102210,1.995567,9.360131,2.027889,9.782979,78.036560,77.964806
1.1200960,1.985990,9.354146,2.020706,9.773815,78.068222,78.013451
1.1301659,2.007538,9.366117,2.013524,9.788189,78.128960,77.902245
1.1401650,2.057816,9.387665,2.015918,9.819714,78.153351,77.636078
1.1501000,2.098518,9.404425,2.063802,9.854251,77.910896,77.421005
1.1601570,2.158373,9.433155,2.117671,9.905933,77.656151,77.112167
1.1702989,2.220622,9.448717,2.159570,9.943498,77.456299,76.774452
1.1805660,2.256535,9.449914,2.227805,9.967745,77.085228,76.569893
1.1900810,2.256535,9.424775,2.227805,9.943915,77.053749,76.535378
1.2001489,2.251747,9.313444,2.256535,9.843909,76.748161,76.408211
1.2102250,2.224213,9.281123,2.239776,9.803212,76.792778,76.523277
1.2201030,2.202666,9.288305,2.207454,9.797816,76.979446,76.659096
1.2301190,2.189497,9.340978,2.182315,9.839220,77.185364,76.808189
1.2408290,2.173935,9.391256,2.178724,9.882739,77.264099,76.966454
1.2503320,2.149993,9.404425,2.112883,9.875725,77.646233,77.122620
1.2600980,2.117671,9.410410,2.076970,9.866821,77.848320,77.317711
1.2701390,2.072181,9.411607,2.055422,9.853783,77.960136,77.583130
1.2805279,2.041057,9.440337,2.054225,9.874498,77.992874,77.800095
1.2901940,2.043451,9.489418,2.039860,9.918961,78.132294,77.847504
1.3005220,2.102109,9.550470,2.045845,9.990788,78.183777,77.586823
1.3106350,2.141613,9.550470,2.094927,10.009332,77.918823,77.360977
1.3207029,2.157176,9.526528,2.202666,10.012986,77.292091,77.241173
1.3308170,2.208651,9.546879,2.217031,10.046704,77.251465,76.973907
1.3409389,2.284068,9.578004,2.184709,10.086034,77.490158,76.587173
1.3505560,2.284068,9.560047,2.148796,10.061252,77.668266,76.562889
1.3604000,2.255338,9.473856,2.194286,9.982754,77.302261,76.609459
1.3701990,2.229002,9.362526,2.231396,9.879497,76.946472,76.608490
1.3803499,2.188300,9.302670,2.212242,9.809299,76.966248,76.762764
1.3901910,2.142811,9.305065,2.158373,9.789507,77.262878,77.031769
1.4003810,2.072181,9.355343,2.121263,9.814078,77.517296,77.510788
1.4101720,2.018312,9.381680,2.050634,9.812981,77.937912,77.858818
1.4202631,1.982399,9.379285,2.009932,9.794933,78.158722,78.065651
1.4303290,1.969231,9.379285,1.990779,9.788363,78.265190,78.142670
1.4402399,1.994370,9.386468,1.987187,9.799603,78.300285,78.004585
1.4500500,2.033874,9.374496,1.965640,9.791913,78.419701,77.758919
1.4600919,2.063802,9.343372,1.985990,9.772514,78.274559,77.544281
1.4702169,2.104503,9.309854,2.020706,9.756309,78.046494,77.262306
1.4805269,2.128445,9.306262,2.036268,9.761311,77.959328,77.117393
1.4902370,2.129642,9.337387,2.032677,9.790504,78.017250,77.151924
1.5002890,2.117671,9.350554,2.027889,9.799477,78.056999,77.239174
1.5100650,2.111686,9.355343,2.012326,9.799547,78.150078,77.280365
1.5204349,2.090138,9.337387,1.991976,9.773609,78.240051,77.382553
1.5303330,2.066196,9.311050,2.003947,9.745801,78.134109,77.488350
1.5403249,2.057816,9.318233,1.996764,9.749418,78.181709,77.546814
1.5501610,2.054225,9.331401,2.021903,9.766421,78.051872,77.584869
