Keuwl Accelerometer Data File
2019-06-27 16-01-44

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.423774,4.982334,7.442376,8.966169,33.896042,85.138397
0.0099250,0.579397,4.698621,8.670602,9.878870,28.634846,82.970222
0.0198940,0.749385,4.838682,8.925584,10.180396,28.748148,81.196327
0.0298920,0.857124,4.776433,9.022549,10.244772,28.273340,79.826630
0.0398520,0.779313,4.595670,8.904037,10.050343,27.632135,80.375603
0.0499500,0.743400,4.635174,8.744822,9.925189,28.227865,80.888374
0.0599120,0.937330,4.659117,8.633492,9.855107,28.831419,78.624969
0.0702450,1.193510,4.709395,8.778340,10.033051,28.961859,75.778854
0.0800220,1.171962,4.538209,8.595184,9.790099,28.604351,75.520103
0.0900770,0.915782,4.389769,8.595184,9.694633,27.551929,78.216110
0.0999440,0.612916,4.193444,8.588001,9.576764,26.265383,81.684502
0.1098600,0.430956,4.368221,8.580819,9.638336,27.091532,84.365593
0.1199680,0.257377,4.618415,8.510190,9.686038,28.525602,86.810303
0.1299860,0.248997,4.735731,8.386889,9.634783,29.485498,86.990250
0.1399920,0.282516,4.780024,8.397662,9.666911,29.691883,86.617561
0.1499860,0.239420,4.673482,8.455123,9.663739,28.962967,87.067329
0.1599790,0.338780,4.697424,8.119935,9.386901,30.114061,85.874954
0.1700890,1.092953,4.958392,8.236053,9.675369,31.653292,77.569359
0.1804070,1.359907,4.985925,8.580819,10.016948,31.059704,74.743721
0.1900640,1.408988,4.787206,8.883685,10.189330,29.324306,73.599602
0.1998710,1.464054,4.520253,9.297882,10.441587,27.068096,72.053497
0.2099800,1.526304,4.344279,9.437943,10.501292,26.006916,70.641769
0.2201560,1.197101,4.203021,9.460688,10.421278,24.793623,74.102036
0.2301960,0.858321,4.188656,9.182961,10.129577,24.967241,78.419510
0.2399860,0.864307,4.692636,8.623915,9.855950,28.955524,79.564011
0.2500670,0.981623,5.088876,8.459911,9.921206,31.492348,79.081985
0.2599860,1.001973,5.061342,8.534132,9.972589,31.156322,78.802170
0.2700820,0.891840,4.753687,8.593987,9.861518,29.370436,79.374245
0.2799720,0.784101,4.610035,8.567651,9.760732,28.625809,80.347183
0.2901520,0.717063,4.693832,8.547300,9.777658,29.053516,81.314240
0.2999380,0.657208,4.687847,8.567651,9.788384,28.920977,82.019485
0.3099540,0.696713,4.644751,8.598776,9.797860,28.643688,81.469231
0.3199920,0.806846,4.592079,8.602366,9.784626,28.457390,80.034630
0.3300760,0.931344,4.589684,8.585608,9.779840,28.611320,78.529221
0.3400420,1.064223,4.672285,8.586804,9.833413,29.164141,77.168449
0.3499630,1.102530,4.790798,8.537724,9.851905,29.933361,77.039894
0.3603070,1.052252,4.809951,8.474277,9.800828,30.157343,77.660065
0.3699100,0.912191,4.712986,8.412027,9.685377,29.711899,79.045937
0.3799640,0.802058,4.642357,8.374918,9.609059,29.359007,80.197800
0.3900720,0.794875,4.632780,8.434772,9.656079,29.129776,80.264206
0.4000710,0.869095,4.650737,8.491036,9.720205,29.126759,79.415077
0.4101460,0.922965,4.604050,8.508993,9.718647,28.891918,78.664284
0.4200910,0.998382,4.595670,8.505402,9.718992,28.939396,77.743279
0.4300580,1.079785,4.657919,8.532935,9.781264,29.264130,76.948395
0.4400200,1.088165,4.721366,8.607155,9.877172,29.376041,77.021301
0.4500010,0.993594,4.738125,8.632295,9.897149,29.284676,78.156586
0.4600110,0.906205,4.639963,8.607155,9.820060,28.778545,78.948990
0.4700400,0.902614,4.635174,8.589199,9.801729,28.801477,78.980614
0.4799570,0.922965,4.732140,8.547300,9.813325,29.426205,78.963486
0.4900910,0.905008,4.740520,8.530540,9.801106,29.498915,79.191772
0.5000370,0.860716,4.647145,8.525752,9.748089,29.001434,79.506935
0.5100990,0.820014,4.538209,8.526949,9.694154,28.406212,79.757675
0.5200580,0.799663,4.533421,8.573636,9.731320,28.232506,79.996338
0.5300700,0.751779,4.531027,8.540117,9.696854,28.271856,80.579414
0.5401160,0.787692,4.583699,8.426393,9.624700,28.896187,80.249168
0.5500940,0.887052,4.730943,8.477868,9.748996,29.586130,79.380348
0.5600140,1.001973,4.657919,8.629900,9.857756,28.902590,77.860001
0.5703640,1.173159,4.679467,8.768764,10.008244,28.818146,75.925827
0.5802480,1.290475,4.751293,8.746018,10.036580,29.376604,74.804749
0.5904080,1.309628,4.766856,8.705317,10.011024,29.590923,74.637794
0.5999860,1.235408,4.748899,8.669404,9.961769,29.510260,75.417938
0.6101230,1.085770,4.739322,8.634688,9.909487,29.383427,77.096313
0.6200810,0.978031,4.690241,8.586804,9.833012,29.159943,78.221199
0.6299810,0.950498,4.661511,8.532935,9.769550,29.141294,78.475182
0.6401210,0.939724,4.738125,8.446744,9.730385,29.763817,78.781967
0.6500190,0.833182,4.659117,8.329428,9.580236,29.606527,79.861061
0.6600940,0.770933,4.574122,8.240842,9.456659,29.374447,80.433151
0.6699719,0.756568,4.539406,8.408437,9.585427,28.692331,80.537682
0.6799230,0.833182,4.507085,8.362947,9.536608,28.725666,79.526505
0.6900430,1.042675,4.566940,8.462306,9.672370,28.967472,77.139275
0.6999890,1.256956,4.744111,8.530540,9.841578,29.912741,75.160408
0.7100070,1.174356,4.746505,8.686164,9.967841,29.376068,76.103241
0.7200450,1.212663,4.783615,8.595184,9.911141,29.862312,75.774986
0.7300069,1.193510,4.808754,8.463503,9.807113,30.345299,76.061127
0.7401120,1.113304,4.746505,8.403648,9.715455,30.119881,76.799759
0.7501799,1.067814,4.674679,8.188169,9.488887,30.353733,77.132965
0.7600710,1.051055,4.648343,8.406042,9.662989,29.550474,77.258888
0.7705669,1.148020,4.613626,8.585608,9.814079,28.975658,76.026741
0.7806360,1.349133,4.541800,8.760384,9.959540,28.406189,73.456055
0.7907900,1.647211,4.570531,8.868123,10.111710,28.715618,70.180931
0.8000320,1.746570,4.681861,8.862138,10.173879,29.417042,69.541954
0.8103830,1.653196,4.715380,8.840590,10.154993,29.475548,70.679504
0.8198890,1.552640,4.751293,8.777143,10.100679,29.661341,71.903511
0.8299650,1.411382,4.777629,8.686164,10.013350,29.835394,73.542084
0.8399569,1.313220,4.774038,8.611943,9.933859,29.896376,74.619743
0.8499040,1.302446,4.729745,8.541314,9.849919,29.871386,74.603867
0.8600690,1.301249,4.614824,8.547300,9.800316,29.291084,74.253059
0.8700519,1.325191,4.557363,8.585608,9.810114,28.933813,73.786621
0.8805619,1.363498,4.611232,8.615535,9.866611,29.167231,73.527550
0.8900670,1.349133,4.637568,8.577228,9.843578,29.383795,73.779556
0.8999900,1.332373,4.714183,8.534132,9.840231,29.857134,74.218079
0.9103540,1.365892,4.793192,8.483853,9.839519,30.432959,74.094299
0.9201770,1.389834,4.844667,8.398860,9.795064,30.967600,73.992920
0.9301109,1.398214,4.815937,8.301894,9.698954,31.134302,73.810371
0.9400170,1.340753,4.799177,8.206126,9.600533,31.267054,74.391159
0.9501219,1.219846,4.754885,7.965509,9.356617,31.644075,75.611320
