Keuwl Accelerometer Data File
2019-06-28 13-19-25

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.118612,0.885806,0.216357,0.919528,76.391212,82.373306
0.0094280,0.137038,0.805389,0.284327,0.865027,70.810661,80.343521
0.0194070,0.213428,0.794650,0.326793,0.885333,68.338745,74.966225
0.0294010,0.298238,0.865305,0.330087,0.972963,70.168198,70.982857
0.0394680,0.333260,0.940963,0.290916,1.039762,73.752258,70.497414
0.0497330,0.310807,0.962928,0.263826,1.045674,75.386215,72.111336
0.0596170,0.265534,0.946088,0.244179,1.012529,76.045113,74.322403
0.0696340,0.223800,0.926929,0.245156,0.984574,75.581863,76.426125
0.0796070,0.192439,0.889711,0.267487,0.948771,73.624596,77.795273
0.0894600,0.192561,0.845536,0.311173,0.921325,70.260452,77.170364
0.0999070,0.231244,0.835042,0.367794,0.941298,67.000008,74.521240
0.1096050,0.298970,0.863230,0.441011,1.014417,64.230995,70.897049
0.1195570,0.376580,0.922048,0.487504,1.108894,63.919655,67.784050
0.1299780,0.424171,0.998072,0.489701,1.189906,65.698021,66.974953
0.1396060,0.433324,1.048714,0.415874,1.208520,69.872040,67.549820
0.1500020,0.375970,1.035047,0.373408,1.162802,71.268883,70.036964
0.1597820,0.330820,0.946088,0.346073,1.060326,70.950562,70.726746
0.1695190,0.287866,0.927051,0.338874,1.028166,70.756096,72.749527
0.1794890,0.238810,0.942549,0.298604,1.017150,72.928223,75.782379
0.1894180,0.196466,0.972446,0.254186,1.024139,75.629303,78.578117
0.1995200,0.168644,0.972812,0.205862,1.008555,78.222244,80.165138
0.2096760,0.161322,0.940963,0.181823,0.971851,79.217049,80.271599
0.2195120,0.169864,0.893494,0.188656,0.928857,78.281364,79.235840
0.2297490,0.197320,0.852736,0.206472,0.899291,76.726799,76.971252
0.2403040,0.231122,0.827842,0.223434,0.888067,75.428001,74.400993
0.2498860,0.261507,0.809050,0.241739,0.883960,74.128998,72.087730
0.2598600,0.285181,0.790868,0.261995,0.880591,72.691162,70.171074
0.2697740,0.298482,0.765608,0.280300,0.868225,71.165092,68.701035
0.2795430,0.301045,0.732782,0.301411,0.847612,69.169777,67.665947
0.2896320,0.292991,0.699834,0.317641,0.822500,67.282433,67.283020
0.2998230,0.274930,0.683604,0.312271,0.800259,67.032272,68.091103
0.3100530,0.244423,0.679455,0.297506,0.780969,67.607796,70.214607
0.3196460,0.215136,0.681286,0.279079,0.767020,68.663231,72.474922
0.3300040,0.199517,0.688486,0.252721,0.760057,70.579239,73.838898
0.3398030,0.197930,0.696661,0.227095,0.759003,72.590324,74.139473
0.3495830,0.196954,0.692268,0.209157,0.749515,73.796104,74.118652
0.3596510,0.199151,0.662737,0.204886,0.721707,73.507423,73.274628
0.3697530,0.219774,0.619173,0.231732,0.696689,70.572159,70.457840
0.3808910,0.262728,0.584029,0.267853,0.694162,67.302544,65.779221
0.3901670,0.308244,0.571338,0.306414,0.717866,64.732803,61.652561
0.3997440,0.351442,0.590252,0.327037,0.760830,64.542473,59.229992
0.4097330,0.393298,0.645775,0.326305,0.823519,66.657181,58.657227
0.4199790,0.439303,0.730219,0.318129,0.909623,69.528778,58.968704
0.4296720,0.471275,0.816982,0.265290,0.979764,74.289940,60.021572
0.4398540,0.475912,0.862742,0.242349,1.014667,76.181580,61.117702
0.4500530,0.444916,0.805145,0.240640,0.950850,75.340202,61.075325
0.4600190,0.414043,0.735100,0.244301,0.878344,73.850853,60.609745
0.4709970,0.389515,0.690072,0.251501,0.831369,72.391319,60.557175
0.4795720,0.383414,0.696783,0.250525,0.833832,72.515373,61.177650
