Keuwl Accelerometer Data File
2019-06-27 15-59-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.349133,3.952827,8.995016,9.917425,24.907204,71.154800
0.0082600,1.364695,4.216189,9.051279,10.077911,26.086596,72.064285
0.0182250,1.333570,4.158728,8.803479,9.827242,26.385530,72.220627
0.0282540,1.420959,4.149151,9.070433,10.075085,25.804642,71.095222
0.0381840,1.394622,3.835511,9.125500,9.996543,24.095592,70.018333
0.0482080,1.312023,3.556587,9.050082,9.811968,22.727699,69.751015
0.0581690,1.268927,3.627216,8.963891,9.752856,23.204535,70.718376
0.0681980,1.084573,3.683479,8.838196,9.636287,23.482967,73.593323
0.0783750,0.914585,3.665523,8.784326,9.562264,23.271227,75.990173
0.0883300,0.899023,3.705027,8.737639,9.533195,23.573349,76.360817
0.0982340,0.943315,3.592500,8.777143,9.530695,22.936951,75.287453
0.1083970,1.143231,3.411737,8.875306,9.576951,22.068380,71.474632
0.1183480,1.235408,4.031836,8.847773,9.801276,25.482544,72.964241
0.1284600,1.078588,4.045004,8.852561,9.792509,25.309246,75.069641
0.1382460,1.104924,4.060566,9.035717,9.967609,24.972855,74.777756
0.1488270,1.259350,4.037821,9.168595,10.097183,24.764803,72.677902
0.1588820,1.479617,3.883395,9.193734,10.089339,24.323763,69.142601
0.1683190,1.537078,3.734955,9.257181,10.099895,23.571453,67.630951
0.1783800,1.590947,3.733757,9.251195,10.102310,23.687473,66.921234
0.1888160,1.589750,3.684676,9.184157,10.022619,23.602819,66.662262
0.1984000,1.598130,3.824737,9.096769,9.996692,24.497692,67.322861
0.2082550,1.465251,3.945644,9.033323,9.965741,24.982382,69.627060
0.2183950,1.270124,3.961207,8.966286,9.884263,24.888653,72.222038
0.2284600,1.061828,3.920505,8.908825,9.791068,24.509426,74.845589
0.2384910,0.918176,3.853468,8.887277,9.730157,24.024082,76.597878
0.2484170,0.864307,3.810372,8.917204,9.735630,23.661142,77.219856
0.2583670,0.848745,3.780444,8.941146,9.744549,23.428984,77.346382
0.2696720,0.933739,3.755305,8.939949,9.741503,23.405336,76.036835
0.2785210,1.108515,3.817555,8.936357,9.780644,23.981348,73.808121
0.2883450,1.252167,3.964798,9.011775,9.924698,24.767525,72.472778
0.2983820,1.320402,3.945644,9.058462,9.968315,24.670185,71.497284
0.3090370,1.325191,3.861847,9.059659,9.937174,24.259533,71.060371
0.3184060,1.308431,3.794810,9.005790,9.859859,24.023418,70.976067
0.3286360,1.346738,3.790021,8.907627,9.773626,24.301250,70.437943
0.3383270,1.373075,3.886986,8.860941,9.772936,24.949274,70.544273
0.3481800,1.368286,3.951630,8.826224,9.766771,25.351336,70.901146
0.3582100,1.331176,3.898957,8.766370,9.686234,25.172161,71.149147
0.3683710,1.279701,3.901352,8.765172,9.679174,25.099810,71.839752
0.3782650,1.186327,3.888184,8.780735,9.676086,24.842295,73.032486
0.3883820,1.146823,3.883395,8.886080,9.765162,24.497725,73.547371
0.3983780,1.201889,3.920505,8.963891,9.857294,24.582073,72.956299
0.4083750,1.264138,3.940856,8.933964,9.846020,24.855865,72.214920
0.4184560,1.310825,3.919308,8.916007,9.827229,24.868431,71.507317
0.4283830,1.327585,3.892972,8.950723,9.850540,24.680141,71.169548
0.4383840,1.291672,3.835511,9.026140,9.891954,24.150642,71.388199
0.4483960,1.312023,3.884592,8.996213,9.886521,24.501934,71.337585
0.4587110,1.322796,3.916914,8.959103,9.866992,24.771332,71.339455
0.4692160,1.272518,3.914520,8.912416,9.817021,24.789640,71.991875
0.4783820,1.225831,3.870227,8.823831,9.712945,24.706480,72.425255
0.4884880,1.254562,3.908534,8.756793,9.671194,25.115898,72.204407
0.4982360,1.218649,3.834314,8.832211,9.705411,24.490568,72.368340
0.5086660,1.322796,3.858256,8.923190,9.811180,24.564754,71.075813
0.5182250,1.368286,3.866636,8.917204,9.815274,24.700743,70.512657
0.5282969,1.423353,3.915717,8.877700,9.806749,25.141102,70.023926
0.5383010,1.383849,3.945644,8.882488,9.817420,25.207932,70.672798
0.5483750,1.361104,3.998317,8.787917,9.750212,25.669828,71.200439
0.5583040,1.325191,3.957615,8.711303,9.659485,25.599108,71.487099
0.5682600,1.315614,3.974375,8.699332,9.654267,25.698715,71.684212
0.5783250,1.268927,3.932476,8.712500,9.642728,25.373899,72.116211
0.5883800,1.261744,3.878607,8.760384,9.663328,24.965834,71.979843
0.5984270,1.338359,3.870227,8.862138,9.762547,24.801163,70.924164
0.6083290,1.444901,3.740940,8.966286,9.822253,24.097183,68.881447
0.6186560,1.592144,3.831920,9.024943,9.933184,24.692202,67.437355
0.6283450,1.547851,3.867833,9.041702,9.955317,24.738335,68.189415
0.6381940,1.525106,3.909731,9.027337,9.955137,24.932930,68.690254
0.6484190,1.513135,4.027047,9.017760,9.991331,25.503572,69.406631
0.6583130,1.515530,4.104859,8.973468,9.983478,25.995060,69.735657
0.6689479,1.575385,4.118027,8.925584,9.955201,26.288555,69.065239
0.6783340,1.628057,4.045004,8.904037,9.914358,26.091200,68.075912
0.6885210,1.568202,4.003105,8.960299,9.938364,25.632545,68.607414
0.6982410,1.486799,3.982754,8.979453,9.934962,25.334702,69.528931
0.7083310,1.476025,3.998317,8.901642,9.869368,25.584877,69.737785
0.7183370,1.486799,4.060566,8.858546,9.857616,26.018829,69.889511
0.7282870,1.480814,4.041412,8.863335,9.853148,25.901886,69.876663
0.7382870,1.498770,4.052186,8.878897,9.874276,25.947582,69.702225
0.7482759,1.504756,3.987543,8.900445,9.868268,25.587637,69.325294
