Keuwl Accelerometer Data File
2019-06-26 17-06-01

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.408567,9.160215,2.091335,9.699713,77.548805,75.268234
0.0102760,2.480393,9.381680,1.922544,9.892646,78.793785,75.190605
0.0200680,2.408567,9.312247,1.859098,9.796703,79.060776,75.498520
0.0299970,2.384625,9.289502,1.892616,9.775648,78.836746,75.602974
0.0400090,2.408567,9.193734,1.976413,9.707325,78.252434,75.319618
0.0499390,2.558204,9.190144,2.103306,9.768677,77.566208,74.444717
0.0599840,2.791639,9.285912,2.257732,9.955840,76.892746,73.267555
0.0701040,2.996343,9.373300,2.440889,10.138775,76.069313,72.272591
0.0801050,3.118448,9.498995,2.546233,10.316924,75.711670,71.825386
0.0900300,3.095703,9.509769,2.616863,10.337652,75.336662,71.968445
0.1000240,3.063381,9.611523,2.529474,10.400188,75.923676,72.321899
0.1101490,3.055001,9.746795,2.553416,10.528674,75.964668,72.597107
0.1199830,3.055001,9.786300,2.582147,10.572236,75.863167,72.663139
0.1302030,2.876633,9.476251,2.586935,10.235555,75.360283,73.113686
0.1402330,2.608483,9.165004,2.565387,9.868266,74.932114,74.112938
0.1499320,2.410961,9.117120,2.547431,9.768521,74.883675,75.187584
0.1602070,2.308010,9.151836,2.497152,9.763134,75.180565,75.845673
0.1700090,2.238579,9.154230,2.383428,9.720694,75.806870,76.258545
0.1802540,2.281674,9.217676,2.322376,9.775736,76.257111,76.096893
0.1907300,2.325967,9.314642,2.311602,9.875029,76.462273,75.979355
0.2001480,2.359486,9.379285,2.272097,9.934817,76.779427,75.879471
0.2100890,2.345121,9.431957,2.237381,9.973329,77.036133,76.037354
0.2207530,2.333150,9.472659,2.203863,10.001594,77.270340,76.163261
0.2300780,2.316390,9.479841,2.172738,9.997692,77.448097,76.268890
0.2399970,2.325967,9.434352,2.153584,9.952640,77.503311,76.150368
0.2500440,2.317587,9.368511,2.159570,9.889588,77.386803,76.105103
0.2599960,2.276886,9.275137,2.177526,9.795611,77.156067,76.207611
0.2700660,2.236184,9.218874,2.178724,9.733191,77.065048,76.365341
0.2801260,2.226608,9.209297,2.148796,9.715260,77.221802,76.407967
0.2900860,2.214637,9.238028,2.130840,9.735823,77.357567,76.518867
0.3001060,2.214637,9.249998,2.098518,9.740168,77.558075,76.535683
0.3100470,2.226608,9.232041,2.054225,9.716389,77.794502,76.440216
0.3201070,2.224213,9.167398,2.027889,9.648868,77.867767,76.362297
0.3303840,2.237381,9.118318,2.018312,9.603290,77.867752,76.213585
0.3401900,2.227805,9.106346,2.029086,9.591968,77.787376,76.252991
0.3500500,2.231396,9.112331,2.031480,9.598990,77.781830,76.240372
0.3602110,2.203863,9.153033,2.039860,9.633071,77.774727,76.462044
0.3701560,2.157176,9.193734,2.013524,9.655694,77.963646,76.795242
0.3800760,2.130840,9.273940,1.974019,9.718188,78.280167,77.059952
0.3906500,2.111686,9.352949,1.938106,9.782287,78.572723,77.277222
